NPC类型ID	NPC模型路径	模型缩放比例	脚底选择框	物体缩放比例	特效缩放比例	NPC等级	NPC行为类型	NPC分类	NPC名字	名字颜色	名字显示	NPC称号	称号颜色	Title显示	NPC阵营	备注	备注显示	待机对话	NPC对话半身像	NPC目标小头像	Npc功能标志位	Npc功能类型	门派	职业	地图	采集类型	限制条件1	限制条件2	永久定点刷新	出生脚本	背景图	NPC_FLAGS	包围框高度	死亡脚本	动态障碍	坐骑id	目标头像框样式	走路动作频率修正	出生自带特效技能	死亡播放音效	被击播放音效	进入区域喊话ID	点击喊话ID	
10701157	"Data\npc\NPC-task\gongzhu\actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"沐娇雪"	3	1	"[昆仑]魔神水晶教学"	5	1	0	""	1	""	""	4317002	8	1	0	0	7011	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10701158	"Data\npc\NPC-task\shinv\actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"王娇玉"	3	1	"[轩辕]魔神水晶教学"	5	1	0	""	1	""	""	4317002	8	1	0	0	7011	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207025	0	0	0	0	
10701159	"Data\npc\NPC-task\xianv\actor.kfm"	1.300000	""	1.000000	1.000000	90	0	1	"黎娇程"	3	1	"[九黎]魔神水晶教学"	5	1	0	""	1	""	""	4317002	8	1	0	0	7011	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10701245	"Data\npc\mon-human\1kunlun\tianbing\actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"侍剑"	3	1	"[昆仑]战场征募官"	5	1	0	"魔神水晶"	1	""	""	4311104	8	1	0	0	7012	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207022	0	0	0	0	
10701246	"data\npc\mon-human\2xuanyuan\jiangjun\actor.kfm"	1.300000	""	1.000000	1.000000	70	0	1	"常先"	3	1	"[轩辕]战场征募官"	5	1	0	"魔神水晶"	1	""	""	4311204	8	1	0	0	7012	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10701247	"data\npc\npc-task\KUAFU\actor.kfm"	0.650000	""	1.000000	1.000000	70	0	1	"夸父"	3	1	"[九黎]战场征募官"	5	1	0	"魔神水晶"	1	""	""	4314006	8	1	0	0	7012	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10701345	"Data\npc\mon-human\1kunlun\tianbing\actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"侍剑"	3	1	"[昆仑]战场征募官"	5	1	0	"魔神水晶"	1	""	""	4311104	8	1	0	0	7013	7013	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207022	0	0	0	0	
10701346	"data\npc\mon-human\2xuanyuan\jiangjun\actor.kfm"	1.300000	""	1.000000	1.000000	90	0	1	"常先"	3	1	"[轩辕]战场征募官"	5	1	0	"魔神水晶"	1	""	""	4311204	8	1	0	0	7013	7013	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10701347	"data\npc\npc-task\KUAFU\actor.kfm"	0.650000	""	1.000000	1.000000	90	0	1	"夸父"	3	1	"[九黎]战场征募官"	5	1	0	"魔神水晶"	1	""	""	4314006	8	1	0	0	7013	7013	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10702100	"Data\npc\mon-human\1kunlun\tianjiang\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"沐清风"	3	1	""	5	1	0	""	1	""	""	4311104	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10702113	"Data\npc\npc-school\1kunlun\jintong\Actor.kfm"	1.000000	""	1.000000	1.000000	70	0	1	"金童"	3	1	"[打宝]进入邪魔古墓"	5	1	0	"进入邪魔古墓"	1	""	""	4313104	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207022	0	0	0	0	
10702114	"Data\npc\mon-human\2xuanyuan\JIANGJUN\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"大鸿"	3	1	"[打宝]进入邪魔古墓"	5	1	0	"进入邪魔古墓"	1	""	""	4311204	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10702115	"data\npc\npc-school\3jiuli\tushansu\actor.kfm"	1.000000	""	1.000000	1.000000	70	0	1	"涂山静"	3	1	"[打宝]进入邪魔古墓"	5	1	0	"进入邪魔古墓"	1	""	""	4313302	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207031	0	0	0	0	
10702116	"Data\npc\mon-human\1kunlun\tianjiang\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔剑宗"	3	1	"[打宝]离开邪魔古墓"	5	1	0	"离开古墓"	1	""	""	4311104	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10702117	"Data\npc\mon-human\1kunlun\tianjiang\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔剑宗"	3	1	"[打宝]进入古墓通道二"	5	1	0	"通道二"	1	""	""	4311104	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10702118	"Data\npc\mon-human\1kunlun\tianjiang\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔剑宗"	3	1	"[打宝]回到古墓通道一"	5	1	0	"通道一"	1	""	""	4311104	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10702119	"Data\npc\mon-human\2xuanyuan\jiangjun\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔武尊"	3	1	"[打宝]离开邪魔古墓"	5	1	0	"离开古墓"	1	""	""	4311204	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10702120	"Data\npc\mon-human\2xuanyuan\jiangjun\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔武尊"	3	1	"[打宝]进入古墓通道二"	5	1	0	"通道二"	1	""	""	4311204	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10702121	"Data\npc\mon-human\2xuanyuan\jiangjun\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔武尊"	3	1	"[打宝]回到古墓通道一"	5	1	0	"通道一"	1	""	""	4311204	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10702122	"Data\npc\mon-human\3jiuli\mojiang\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔修罗"	3	1	"[打宝]离开邪魔古墓"	5	1	0	"离开古墓"	1	""	""	4311304	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10702123	"Data\npc\mon-human\3jiuli\mojiang\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔修罗"	3	1	"[打宝]进入古墓通道二"	5	1	0	"通道二"	1	""	""	4311304	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10702124	"Data\npc\mon-human\3jiuli\mojiang\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔修罗"	3	1	"[打宝]回到古墓通道一"	5	1	0	"通道一"	1	""	""	4311304	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10702125	"Data\npc\mon-human\2xuanyuan\xuejian01\actor02.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"探路者"	3	1	""	5	1	0	"通道一"	1	""	""	4311304	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10702126	"Data\npc\mon-human\2xuanyuan\shibing\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"过气的英雄"	3	1	""	5	1	0	"通道一"	1	""	""	4311304	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10702127	"Data\npc\mon-human\1kunlun\jingguai02\actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"盗墓者"	3	1	""	5	1	0	"通道一"	1	""	""	4311304	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207022	0	0	0	0	
10702128	"Data\npc\mon-human\2xuanyuan\xuejian01\actor02.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"探路者"	3	1	""	5	1	0	"通道一"	1	""	""	4311304	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10702129	"Data\npc\mon-human\2xuanyuan\shibing\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"过气的英雄"	3	1	""	5	1	0	"通道一"	1	""	""	4311304	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10702130	"Data\npc\mon-human\1kunlun\jingguai02\actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"盗墓者"	3	1	""	5	1	0	"通道一"	1	""	""	4311304	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207022	0	0	0	0	
10702131	"Data\npc\mon-human\2xuanyuan\xuejian01\actor02.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"探路者"	3	1	""	5	1	0	"通道一"	1	""	""	4311304	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10702132	"Data\npc\mon-human\2xuanyuan\shibing\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"过气的英雄"	3	1	""	5	1	0	"通道一"	1	""	""	4311304	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10702133	"Data\npc\mon-human\1kunlun\jingguai02\actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"盗墓者"	3	1	""	5	1	0	"通道一"	1	""	""	4311304	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207022	0	0	0	0	
10702134	"Data\npc\npc-school\1kunlun\jintong\Actor.kfm"	1.000000	""	1.000000	1.000000	70	0	1	"古幕倾"	3	1	"[活动]清理古墓"	5	1	0	""	1	""	""	4313302	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207022	0	0	0	0	
10702135	"Data\npc\mon-human\2xuanyuan\JIANGJUN\Actor.kfm"	1.000000	""	1.000000	1.000000	70	0	1	"古幕倾"	3	1	"[活动]清理古墓"	5	1	0	""	1	""	""	4313302	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10702136	"data\npc\npc-school\3jiuli\tushansu\actor.kfm"	1.000000	""	1.000000	1.000000	70	0	1	"古幕倾"	3	1	"[活动]清理古墓"	5	1	0	""	1	""	""	4313302	8	1	0	0	7021	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207031	0	0	0	0	
10704100	"Data\npc\mon-human\1kunlun\tianjiang\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"沐清风"	3	1	"[打宝]邪魔洞管理员"	5	1	0	"离开邪魔洞"	1	""	""	4311104	8	1	0	0	7041	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10704114	"Data\npc\mon-human\1kunlun\tianjiang\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔剑宗"	3	1	"[打宝]离开邪魔古墓"	5	1	0	"离开古墓"	1	""	""	4311104	8	1	0	0	7041	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10704115	"Data\npc\mon-human\1kunlun\tianjiang\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔剑宗"	3	1	"[打宝]进入古墓通道二"	5	1	0	"通道二"	1	""	""	4311104	8	1	0	0	7041	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10704116	"Data\npc\mon-human\1kunlun\tianjiang\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔剑宗"	3	1	"[打宝]回到古墓通道一"	5	1	0	"通道一"	1	""	""	4311104	8	1	0	0	7041	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10704117	"Data\npc\mon-human\1kunlun\tianjiang\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔剑宗"	3	1	"[打宝]进入古墓前殿"	5	1	0	"古墓前殿"	1	""	""	4311104	8	1	0	0	7041	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10704118	"Data\npc\mon-human\1kunlun\tianjiang\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔剑宗"	3	1	"[打宝]回到古墓通道二"	5	1	0	"通道二"	1	""	""	4311104	8	1	0	0	7041	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10704119	"Data\npc\npc-task\tiannvba\actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"天火精"	3	1	"[打宝]进入邪魔古墓"	5	1	0	"邪魔古墓"	1	""	""	4314005	8	1	0	0	7041	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207031	0	0	0	0	
10704120	"Data\npc\npc-task\tiannvba\actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"天火精"	3	1	"[打宝]回到古墓前殿"	5	1	0	"古墓前殿"	1	""	""	4314005	8	1	0	0	7041	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207031	0	0	0	0	
10704121	"Data\npc\mon-human\2xuanyuan\jiangjun\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔武尊"	3	1	"[打宝]离开邪魔古墓"	5	1	0	"离开古墓"	1	""	""	4311204	8	1	0	0	7041	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10704122	"Data\npc\mon-human\2xuanyuan\jiangjun\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔武尊"	3	1	"[打宝]进入古墓通道二"	5	1	0	"通道二"	1	""	""	4311204	8	1	0	0	7041	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10704123	"Data\npc\mon-human\2xuanyuan\jiangjun\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔武尊"	3	1	"[打宝]回到古墓通道一"	5	1	0	"通道一"	1	""	""	4311204	8	1	0	0	7041	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10704124	"Data\npc\mon-human\2xuanyuan\jiangjun\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔武尊"	3	1	"[打宝]进入古墓前殿"	5	1	0	"古墓前殿"	1	""	""	4311204	8	1	0	0	7041	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10704125	"Data\npc\mon-human\2xuanyuan\jiangjun\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔武尊"	3	1	"[打宝]回到古墓通道二"	5	1	0	"通道二"	1	""	""	4311204	8	1	0	0	7041	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10704126	"Data\npc\mon-human\2xuanyuan\jiangjun\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"暂时不用"	3	1	"暂时不用"	5	1	0	"暂时不用"	1	""	""	4311204	8	1	0	0	7041	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10704127	"Data\npc\mon-human\2xuanyuan\jiangjun\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"暂时不用"	3	1	"暂时不用"	5	1	0	"暂时不用"	1	""	""	4311204	8	1	0	0	7041	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10704128	"Data\npc\mon-human\3jiuli\mojiang\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔修罗"	3	1	"[打宝]离开邪魔古墓"	5	1	0	"离开古墓"	1	""	""	4311304	8	1	0	0	7041	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10704129	"Data\npc\mon-human\3jiuli\mojiang\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔修罗"	3	1	"[打宝]进入古墓通道二"	5	1	0	"通道二"	1	""	""	4311304	8	1	0	0	7041	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10704130	"Data\npc\mon-human\3jiuli\mojiang\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔修罗"	3	1	"[打宝]回到古墓通道一"	5	1	0	"通道一"	1	""	""	4311304	8	1	0	0	7041	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10704131	"Data\npc\mon-human\3jiuli\mojiang\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔修罗"	3	1	"[打宝]进入古墓前殿"	5	1	0	"古墓前殿"	1	""	""	4311304	8	1	0	0	7041	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10704132	"Data\npc\mon-human\3jiuli\mojiang\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"封魔修罗"	3	1	"[打宝]回到古墓通道二"	5	1	0	"通道二"	1	""	""	4311304	8	1	0	0	7041	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10704133	"Data\npc\mon-human\3jiuli\mojiang\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"暂时不用"	3	1	"暂时不用"	5	1	0	"暂时不用"	1	""	""	4311304	8	1	0	0	7041	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10704134	"Data\npc\mon-human\3jiuli\mojiang\Actor.kfm"	1.200000	""	1.000000	1.000000	70	0	1	"暂时不用"	3	1	"暂时不用"	5	1	0	"暂时不用"	1	""	""	4311304	8	1	0	0	7041	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10708100	"Data\npc\mon-human\1kunlun\tianjiang\Actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"沐清风"	3	1	"[打宝]邪魔洞管理员"	5	1	0	"离开邪魔洞"	1	""	""	4311104	8	1	0	0	7081	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10708114	"Data\npc\mon-human\1kunlun\tianjiang\Actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"封魔剑宗"	3	1	"[打宝]离开邪魔古墓"	5	1	0	"离开古墓"	1	""	""	4311104	8	1	0	0	7081	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10708115	"Data\npc\mon-human\1kunlun\tianjiang\Actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"封魔剑宗"	3	1	"[打宝]进入古墓通道二"	5	1	0	"通道二"	1	""	""	4311104	8	1	0	0	7081	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10708116	"Data\npc\mon-human\1kunlun\tianjiang\Actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"封魔剑宗"	3	1	"[打宝]回到古墓通道一"	5	1	0	"通道一"	1	""	""	4311104	8	1	0	0	7081	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10708117	"Data\npc\mon-human\1kunlun\tianjiang\Actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"封魔剑宗"	3	1	"[打宝]进入古墓前殿"	5	1	0	"古墓前殿"	1	""	""	4311104	8	1	0	0	7081	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10708118	"Data\npc\mon-human\1kunlun\tianjiang\Actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"封魔剑宗"	3	1	"[打宝]回到古墓通道二"	5	1	0	"通道二"	1	""	""	4311104	8	1	0	0	7081	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10708119	"Data\npc\npc-task\tiannvba\actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"天火精"	3	1	"[打宝]进入邪魔古墓"	5	1	0	"邪魔古墓"	1	""	""	4314005	8	1	0	0	7081	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207031	0	0	0	0	
10708120	"Data\npc\npc-task\tiannvba\actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"天火精"	3	1	"[打宝]回到古墓前殿"	5	1	0	"古墓前殿"	1	""	""	4314005	8	1	0	0	7081	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207031	0	0	0	0	
10708121	"Data\npc\mon-human\2xuanyuan\jiangjun\Actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"封魔武尊"	3	1	"[打宝]离开邪魔古墓"	5	1	0	"离开古墓"	1	""	""	4311204	8	1	0	0	7081	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10708122	"Data\npc\mon-human\2xuanyuan\jiangjun\Actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"封魔武尊"	3	1	"[打宝]进入古墓通道二"	5	1	0	"通道二"	1	""	""	4311204	8	1	0	0	7081	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10708123	"Data\npc\mon-human\2xuanyuan\jiangjun\Actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"封魔武尊"	3	1	"[打宝]回到古墓通道一"	5	1	0	"通道一"	1	""	""	4311204	8	1	0	0	7081	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10708124	"Data\npc\mon-human\2xuanyuan\jiangjun\Actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"封魔武尊"	3	1	"[打宝]进入古墓前殿"	5	1	0	"古墓前殿"	1	""	""	4311204	8	1	0	0	7081	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10708125	"Data\npc\mon-human\2xuanyuan\jiangjun\Actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"封魔武尊"	3	1	"[打宝]回到古墓通道二"	5	1	0	"通道二"	1	""	""	4311204	8	1	0	0	7081	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10708126	"Data\npc\mon-human\2xuanyuan\jiangjun\Actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"暂时不用"	3	1	"暂时不用"	5	1	0	"暂时不用"	1	""	""	4311204	8	1	0	0	7081	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10708127	"Data\npc\mon-human\2xuanyuan\jiangjun\Actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"暂时不用"	3	1	"暂时不用"	5	1	0	"暂时不用"	1	""	""	4311204	8	1	0	0	7081	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10708128	"Data\npc\mon-human\3jiuli\mojiang\Actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"封魔修罗"	3	1	"[打宝]离开邪魔古墓"	5	1	0	"离开古墓"	1	""	""	4311304	8	1	0	0	7081	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10708129	"Data\npc\mon-human\3jiuli\mojiang\Actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"封魔修罗"	3	1	"[打宝]进入古墓通道二"	5	1	0	"通道二"	1	""	""	4311304	8	1	0	0	7081	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10708130	"Data\npc\mon-human\3jiuli\mojiang\Actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"封魔修罗"	3	1	"[打宝]回到古墓通道一"	5	1	0	"通道一"	1	""	""	4311304	8	1	0	0	7081	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10708131	"Data\npc\mon-human\3jiuli\mojiang\Actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"封魔修罗"	3	1	"[打宝]进入古墓前殿"	5	1	0	"古墓前殿"	1	""	""	4311304	8	1	0	0	7081	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10708132	"Data\npc\mon-human\3jiuli\mojiang\Actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"封魔修罗"	3	1	"[打宝]回到古墓通道二"	5	1	0	"通道二"	1	""	""	4311304	8	1	0	0	7081	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10708133	"Data\npc\mon-human\3jiuli\mojiang\Actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"暂时不用"	3	1	"暂时不用"	5	1	0	"暂时不用"	1	""	""	4311304	8	1	0	0	7081	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10708134	"Data\npc\mon-human\3jiuli\mojiang\Actor.kfm"	1.200000	""	1.000000	1.000000	90	0	1	"暂时不用"	3	1	"暂时不用"	5	1	0	"暂时不用"	1	""	""	4311304	8	1	0	0	7081	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
11000000	"Data\npc\NPC-common\jiazu\actor.kfm"	1.300000	""	1.000000	1.000000	100	10	1	"嘉卒"	52	1	"家族管理员"	64	1	0	"家族"	1	""	""	4317003	0	1	0	0	10000	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207022	0	0	0	0	
11000002	"Data\npc\NPC-common\cangku\actor.kfm"	1.300000	""	1.000000	1.000000	1	10	1	"家族科技屋"	52	1	"科学家"	64	1	0	"家族"	1	""	""	4317001	0	1	0	0	10000	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207031	0	0	0	0	
11000003	"Data\npc\NPC-common\cangku\actor.kfm"	1.300000	""	1.000000	1.000000	1	10	1	"家族主殿"	52	1	"冲等级"	64	1	0	"家族"	1	""	""	4317001	0	1	0	0	10000	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207031	0	0	0	0	
11000004	"Data\npc\NPC-common\cangku\actor.kfm"	1.300000	""	1.000000	1.000000	1	10	1	"家族铸币屋"	52	1	"钱啊钱"	64	1	0	"家族"	1	""	""	4317001	0	1	0	0	10000	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207031	0	0	0	0	
11000005	"Data\npc\NPC-common\cangku\actor.kfm"	1.300000	""	1.000000	1.000000	1	10	1	"家族技能屋"	52	1	"买技能"	64	1	0	"家族"	1	""	""	4317001	1	1	0	0	10000	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207031	0	0	0	0	
11000006	"Data\npc\NPC-common\cangku\actor.kfm"	1.300000	""	1.000000	1.000000	1	10	1	"家族药品坊"	52	1	"卖药品"	64	1	0	"家族"	1	""	""	4317001	1	1	0	0	10000	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207031	0	0	0	0	
