类型ID	有效标志位	名称	部位	颜色	门派职业限制	等级限制	表现类型ID	性别限制	有效期限	允许续费	时间限制ID	允许超时	地点限制ID	允许离开	携带数量上限ID	可否存入仓库	使用次数限制ID	变身模板限制ID	可否修复	最大耐久	耐久扣减速度	鉴定方式	鉴定品质系数	绑定方式	出售设置	丢弃设置	金币价格	声望价格	家族价格	荣誉价格	师德价格	强化规则ID	打孔镶嵌摘除规则ID	铭刻规则ID	附魔规则ID	回炉规则ID	分解规则ID	白色属性池ID	白色属性等级	蓝色属性池ID	蓝色属性数下限	蓝色属性数上限	蓝色属性等级	技能激活池ID	所属套装ID	模型路径	模型类别	图标前景ID	图标背景ID	掉落图标ID	装备特效规则ID	描述文本	攻击间隔	掉落特效ID	碎片ID	碎片数量
93000130	0	1级护腕	9	3	30	1	910	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	11	2	1	0	2000	10000	100	100	100	92100030	0	2	11	93000130	10011	1093000	48	2093010	3	3	17	0	0	0	0	2093000	9000004	7093000	0	""	-1	0	0	0
103000130	0	1级手套	10	3	30	14	1010	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	11	2	1	0	3200	10000	100	100	100	102100030	0	2	11	103000130	10011	1103000	48	2103010	3	3	17	0	0	0	0	2103000	9000004	7103000	0	""	-1	0	0	0
113000130	0	1级戒指[攻击]	11	3	30	26	1110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	7	2	1	0	2000	10000	100	100	100	112100030	0	2	11	113000130	10011	1113000	16	2113010	2	2	9	0	0	0	0	2113000	9000004	7113000	0	""	-1	0	0	0
3100140	0	1级白色双爪	0	4	31	9	31	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	4	2	1	0	12000	10000	100	100	100	2100040	0	2	11	3100140	10	1003000	69	2003010	3	3	24	0	0	Data/player/9weapon/001claw.nif	17	2003100	9000004	7003100	31001	""	1000	0	0	0
3200140	0	1级白色弓	0	4	32	9	32	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	4	2	1	0	12000	10000	100	100	100	2100040	0	2	11	3200140	10	1003000	69	2003010	3	3	24	0	0	Data/player/9weapon/001bow.nif	22	2003200	9000004	7003200	32001	""	1000	0	0	0
13000140	0	1级帽子	1	4	30	16	110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	12	2	1	0	7200	10000	100	100	100	12100040	0	2	11	13000140	10011	1013000	69	2013010	4	4	17	0	0	Data/player/2jiuli/%s/001hair.nif	1	2013000	9000004	7013000	0	""	-1	0	0	0
23000140	0	1级项链[攻击]	2	4	30	26	210	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	8	2	1	0	17400	10000	100	100	100	22100040	0	2	11	23000140	10011	1023000	23	2023010	2	2	12	0	0	0	0	2023000	9000004	7023000	0	""	-1	0	0	0
33000140	0	1级披风[物防]	3	4	30	24	310	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	8	2	1	0	6000	10000	100	100	100	32100040	0	2	11	33000140	10011	1033000	23	2033010	2	2	12	0	0	0	0	2033000	9000004	7033000	0	""	-1	0	0	0
43000140	0	1级护肩	4	4	30	26	410	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	12	2	1	0	13200	10000	100	100	100	42100040	0	2	11	43000140	10011	1043000	69	2043010	4	4	17	0	0	Data/player/2jiuli/%s/001sdr.nif	4	2043000	9000004	7043000	0	""	-1	0	0	0
53000140	0	1级裤服	5	4	30	24	510	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	4	2	1	0	11400	10000	100	100	100	52100040	0	2	11	53000140	10011	1053000	69	2053010	3	3	24	0	0	Data/player/2jiuli/%s/001body.nif	5	2053000	9000004	7053000	530001	""	-1	0	0	0
63000140	0	1级腰带	6	4	30	25	610	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	4	2	1	0	6000	10000	100	100	100	62100040	0	2	11	63000140	10011	1063000	69	2063010	3	3	24	0	0	0	0	2063000	9000004	7063000	0	""	-1	0	0	0
73000140	0	1级裤子	7	4	30	20	710	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	4	2	1	0	9600	10000	100	100	100	72100040	0	2	11	73000140	10011	1073000	69	2073010	3	3	24	0	0	0	0	2073000	9000004	7073000	0	""	-1	0	0	0
83000140	0	1级鞋子	8	4	30	22	810	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	12	2	1	0	12600	10000	100	100	100	82100040	0	2	11	83000140	10011	1083000	69	2083010	4	4	17	0	0	0	0	2083000	9000004	7083000	0	""	-1	0	0	0
93000140	0	1级护腕	9	4	30	1	910	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	12	2	1	0	6000	10000	100	100	100	92100040	0	2	11	93000140	10011	1093000	69	2093010	4	4	17	0	0	0	0	2093000	9000004	7093000	0	""	-1	0	0	0
103000140	0	1级手套	10	4	30	14	1010	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	12	2	1	0	9600	10000	100	100	100	102100040	0	2	11	103000140	10011	1103000	69	2103010	4	4	17	0	0	0	0	2103000	9000004	7103000	0	""	-1	0	0	0
113000140	0	1级戒指[攻击]	11	4	30	26	1110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	8	2	1	0	6000	10000	100	100	100	112100040	0	2	11	113000140	10011	1113000	23	2113010	2	2	12	0	0	0	0	2113000	9000004	7113000	0	""	-1	0	0	0
3103000	0	30级白色双爪	0	0	31	30	31	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	200	10000	100	100	100	0	0	1	10	3103000	10	1003000	18	2003000	0	0	0	0	0	Data/player/9weapon/030claw.nif	17	2003101	9000005	7003100	31030	""	1000	0	0	0
3203000	0	30级白色弓	0	0	32	30	32	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	200	10000	100	100	100	0	0	1	10	3203000	10	1003000	18	2003000	0	0	0	0	0	Data/player/9weapon/030bow.nif	22	2003201	9000005	7003200	32030	""	1000	0	0	0
13003000	0	30级帽子	1	0	30	34	110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	110	10000	100	100	100	0	0	1	10	13003000	10011	1013000	18	2013000	0	0	0	0	0	Data/player/2jiuli/%s/030hair.nif	1	2013001	9000005	7013000	0	""	-1	0	0	0
23003000	0	30级项链[攻击]	2	0	30	30	210	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	195	10000	100	100	100	0	0	1	10	23003000	10011	1023000	6	2023000	0	0	0	0	0	0	0	2023001	9000005	7023000	0	""	-1	0	0	0
33003000	0	30级披风[物防]	3	0	30	30	310	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	100	10000	100	100	100	0	0	1	10	33003000	10011	1033000	6	2033000	0	0	0	0	0	0	0	2033001	9000005	7033000	0	""	-1	0	0	0
43003000	0	30级护肩	4	0	30	47	410	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	160	10000	100	100	100	0	0	1	10	43003000	10011	1043000	18	2043000	0	0	0	0	0	Data/player/2jiuli/%s/030sdr.nif	4	2043001	9000005	7043000	0	""	-1	0	0	0
53003000	0	30级裤服	5	0	30	36	510	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	145	10000	100	100	100	0	0	1	10	53003000	10011	1053000	18	2053000	0	0	0	0	0	Data/player/2jiuli/%s/030body.nif	5	2053001	9000005	7053000	530030	""	-1	0	0	0
63003000	0	30级腰带	6	0	30	45	610	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	100	10000	100	100	100	0	0	1	10	63003000	10011	1063000	18	2063000	0	0	0	0	0	0	0	2063001	9000005	7063000	0	""	-1	0	0	0
73003000	0	30级裤子	7	0	30	43	710	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	130	10000	100	100	100	0	0	1	10	73003000	10011	1073000	18	2073000	0	0	0	0	0	0	0	2073001	9000005	7073000	0	""	-1	0	0	0
83003000	0	30级鞋子	8	0	30	41	810	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	155	10000	100	100	100	0	0	1	10	83003000	10011	1083000	18	2083000	0	0	0	0	0	0	0	2083001	9000005	7083000	0	""	-1	0	0	0
93003000	0	30级护腕	9	0	30	30	910	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	100	10000	100	100	100	0	0	1	10	93003000	10011	1093000	18	2093000	0	0	0	0	0	0	0	2093001	9000005	7093000	0	""	-1	0	0	0
103003000	0	30级手套	10	0	30	32	1010	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	130	10000	100	100	100	0	0	1	10	103003000	10011	1103000	18	2103000	0	0	0	0	0	0	0	2103001	9000005	7103000	0	""	-1	0	0	0
113003000	0	30级戒指[攻击]	11	0	30	30	1110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	100	10000	100	100	100	0	0	1	10	113003000	10011	1113000	6	2113000	0	0	0	0	0	0	0	2113001	9000005	7113000	0	""	-1	0	0	0
3103010	0	30级白色双爪	0	1	31	30	31	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	2	1	0	400	10000	100	100	100	2100010	0	2	11	3103010	10	1003000	23	2003000	1	1	13	0	0	Data/player/9weapon/030claw.nif	17	2003101	9000005	7003100	31030	""	1000	0	0	0
3203010	0	30级白色弓	0	1	32	30	32	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	2	1	0	400	10000	100	100	100	2100010	0	2	11	3203010	10	1003000	23	2003000	1	1	13	0	0	Data/player/9weapon/030bow.nif	22	2003201	9000005	7003200	32030	""	1000	0	0	0
13003010	0	30级帽子	1	1	30	34	110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	9	0	1	0	220	10000	100	100	100	12100010	0	2	11	13003010	10011	1013000	23	2013000	1	1	17	0	0	Data/player/2jiuli/%s/030hair.nif	1	2013001	9000005	7013000	0	""	-1	0	0	0
23003010	0	30级项链[攻击]	2	1	30	30	210	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	5	2	1	0	390	10000	100	100	100	22100010	0	2	11	23003010	10011	1023000	9	2023000	1	1	6	0	0	0	0	2023001	9000005	7023000	0	""	-1	0	0	0
33003010	0	30级披风[物防]	3	1	30	30	310	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	5	2	1	0	200	10000	100	100	100	32100010	0	2	11	33003010	10011	1033000	9	2033000	1	1	6	0	0	0	0	2033001	9000005	7033000	0	""	-1	0	0	0
43003010	0	30级护肩	4	1	30	42	410	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	9	0	1	0	320	10000	100	100	100	42100010	0	2	11	43003010	10011	1043000	23	2043000	1	1	17	0	0	Data/player/2jiuli/%s/030sdr.nif	4	2043001	9000005	7043000	0	""	-1	0	0	0
53003010	0	30级裤服	5	1	30	36	510	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	2	1	0	290	10000	100	100	100	52100010	0	2	11	53003010	10011	1053000	23	2053000	1	1	13	0	0	Data/player/2jiuli/%s/030body.nif	5	2053001	9000005	7053000	530030	""	-1	0	0	0
63003010	0	30级腰带	6	1	30	45	610	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	2	1	0	200	10000	100	100	100	62100010	0	2	11	63003010	10011	1063000	23	2063000	1	1	13	0	0	0	0	2063001	9000005	7063000	0	""	-1	0	0	0
73003010	0	30级裤子	7	1	30	43	710	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	2	1	0	260	10000	100	100	100	72100010	0	2	11	73003010	10011	1073000	23	2073000	1	1	13	0	0	0	0	2073001	9000005	7073000	0	""	-1	0	0	0
83003010	0	30级鞋子	8	1	30	41	810	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	9	0	1	0	310	10000	100	100	100	82100010	0	2	11	83003010	10011	1083000	23	2083000	1	1	17	0	0	0	0	2083001	9000005	7083000	0	""	-1	0	0	0
93003010	0	30级护腕	9	1	30	30	910	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	9	2	1	0	200	10000	100	100	100	92100010	0	2	11	93003010	10011	1093000	23	2093000	1	1	17	0	0	0	0	2093001	9000005	7093000	0	""	-1	0	0	0
103003010	0	30级手套	10	1	30	32	1010	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	9	0	1	0	260	10000	100	100	100	102100010	0	2	11	103003010	10011	1103000	23	2103000	1	1	17	0	0	0	0	2103001	9000005	7103000	0	""	-1	0	0	0
113003010	0	30级戒指[攻击]	11	1	30	30	1110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	5	2	1	0	200	10000	100	100	100	112100010	0	2	11	113003010	10011	1113000	9	2113000	1	1	6	0	0	0	0	2113001	9000005	7113000	0	""	-1	0	0	0
3103020	0	30级白色双爪	0	2	31	30	31	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	2	2	1	0	2000	10000	100	100	100	2100020	0	2	11	3103020	10	1003000	39	2003010	3	3	19	0	0	Data/player/9weapon/030claw.nif	17	2003101	9000005	7003100	31030	/C48此装备可以熔炼为碎片，消耗碎片也可以重铸装备	1000	0	400303000	2
3203020	0	30级白色弓	0	2	32	30	32	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	2	2	1	0	2000	10000	100	100	100	2100020	0	2	11	3203020	10	1003000	39	2003010	3	3	19	0	0	Data/player/9weapon/030bow.nif	22	2003201	9000005	7003200	32030	/C48此装备可以熔炼为碎片，消耗碎片也可以重铸装备	1000	0	400303000	2
13003020	0	30级帽子	1	2	30	46	110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	10	0	1	0	1100	10000	100	100	100	12100020	0	2	11	13003020	10011	1013000	39	2013010	2	2	17	0	0	Data/player/2jiuli/%s/030hair.nif	1	2013001	9000005	7013000	0	/C48此装备可以熔炼为碎片，消耗碎片也可以重铸装备	-1	0	400303001	2
23003020	0	30级项链[攻击]	2	2	30	30	210	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	6	2	1	0	1950	10000	100	100	100	22100020	0	2	11	23003020	10011	1023000	13	2023010	2	2	9	0	0	0	0	2023001	9000005	7023000	0	/C48此装备可以熔炼为碎片，消耗碎片也可以重铸装备	-1	0	400303002	2
33003020	0	30级披风[物防]	3	2	30	30	310	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	6	2	1	0	1000	10000	100	100	100	32100020	0	2	11	33003020	10011	1033000	13	2033010	2	2	9	0	0	0	0	2033001	9000005	7033000	0	/C48此装备可以熔炼为碎片，消耗碎片也可以重铸装备	-1	0	400303003	2
43003020	0	30级护肩	4	2	30	47	410	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	10	0	1	0	1600	10000	100	100	100	42100020	0	2	11	43003020	10011	1043000	39	2043010	2	2	17	0	0	Data/player/2jiuli/%s/030sdr.nif	4	2043001	9000005	7043000	0	/C48此装备可以熔炼为碎片，消耗碎片也可以重铸装备	-1	0	400303004	2
53003020	0	30级裤服	5	2	30	36	510	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	2	2	1	0	1450	10000	100	100	100	52100020	0	2	11	53003020	10011	1053000	39	2053010	3	3	19	0	0	Data/player/2jiuli/%s/030body.nif	5	2053001	9000005	7053000	530030	/C48此装备可以熔炼为碎片，消耗碎片也可以重铸装备	-1	0	400303005	2
63003020	0	30级腰带	6	2	30	45	610	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	2	2	1	0	1000	10000	100	100	100	62100020	0	2	11	63003020	10011	1063000	39	2063010	3	3	19	0	0	0	0	2063001	9000005	7063000	0	/C48此装备可以熔炼为碎片，消耗碎片也可以重铸装备	-1	0	400303006	2
73003020	0	30级裤子	7	2	30	43	710	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	2	2	1	0	1300	10000	100	100	100	72100020	0	2	11	73003020	10011	1073000	39	2073010	3	3	19	0	0	0	0	2073001	9000005	7073000	0	/C48此装备可以熔炼为碎片，消耗碎片也可以重铸装备	-1	0	400303007	2
83003020	0	30级鞋子	8	2	30	41	810	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	10	0	1	0	1550	10000	100	100	100	82100020	0	2	11	83003020	10011	1083000	39	2083010	2	2	17	0	0	0	0	2083001	9000005	7083000	0	/C48此装备可以熔炼为碎片，消耗碎片也可以重铸装备	-1	0	400303008	2
93003020	0	30级护腕	9	2	30	30	910	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	10	2	1	0	1000	10000	100	100	100	92100020	0	2	11	93003020	10011	1093000	39	2093010	2	2	17	0	0	0	0	2093001	9000005	7093000	0	/C48此装备可以熔炼为碎片，消耗碎片也可以重铸装备	-1	0	400303009	2
103003020	0	30级手套	10	2	30	32	1010	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	10	0	1	0	1300	10000	100	100	100	102100020	0	2	11	103003020	10011	1103000	39	2103010	2	2	17	0	0	0	0	2103001	9000005	7103000	0	/C48此装备可以熔炼为碎片，消耗碎片也可以重铸装备	-1	0	400303010	2
113003020	0	30级戒指[攻击]	11	2	30	30	1110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	6	2	1	0	1000	10000	100	100	100	112100020	0	2	11	113003020	10011	1113000	13	2113010	2	2	9	0	0	0	0	2113001	9000005	7113000	0	/C48此装备可以熔炼为碎片，消耗碎片也可以重铸装备	-1	0	400303011	2
3103030	0	30级白色双爪	0	3	31	30	31	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	3	2	1	0	8000	10000	100	100	100	2100030	0	2	11	3103030	10	1003000	56	2003010	3	3	22	0	0	Data/player/9weapon/030claw.nif	17	2003101	9000005	7003100	31030	""	1000	0	0	0
3203030	0	30级白色弓	0	3	32	30	32	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	3	2	1	0	8000	10000	100	100	100	2100030	0	2	11	3203030	10	1003000	56	2003010	3	3	22	0	0	Data/player/9weapon/030bow.nif	22	2003201	9000005	7003200	32030	""	1000	0	0	0
13003030	0	30级帽子	1	3	30	46	110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	11	2	1	0	4400	10000	100	100	100	12100030	0	2	11	13003030	10011	1013000	56	2013010	3	3	17	0	0	Data/player/2jiuli/%s/030hair.nif	1	2013001	9000005	7013000	0	""	-1	0	0	0
23003030	0	30级项链[攻击]	2	3	30	30	210	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	7	2	1	0	7800	10000	100	100	100	22100030	0	2	11	23003030	10011	1023000	19	2023010	2	2	11	0	0	0	0	2023001	9000005	7023000	0	""	-1	0	0	0
33003030	0	30级披风[物防]	3	3	30	30	310	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	7	2	1	0	4000	10000	100	100	100	32100030	0	2	11	33003030	10011	1033000	19	2033010	2	2	11	0	0	0	0	2033001	9000005	7033000	0	""	-1	0	0	0
43003030	0	30级护肩	4	3	30	47	410	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	11	2	1	0	6400	10000	100	100	100	42100030	0	2	11	43003030	10011	1043000	56	2043010	3	3	17	0	0	Data/player/2jiuli/%s/030sdr.nif	4	2043001	9000005	7043000	0	""	-1	0	0	0
53003030	0	30级裤服	5	3	30	36	510	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	3	2	1	0	5800	10000	100	100	100	52100030	0	2	11	53003030	10011	1053000	56	2053010	3	3	22	0	0	Data/player/2jiuli/%s/030body.nif	5	2053001	9000005	7053000	530030	""	-1	0	0	0
63003030	0	30级腰带	6	3	30	45	610	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	3	2	1	0	4000	10000	100	100	100	62100030	0	2	11	63003030	10011	1063000	56	2063010	3	3	22	0	0	0	0	2063001	9000005	7063000	0	""	-1	0	0	0
73003030	0	30级裤子	7	3	30	43	710	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	3	2	1	0	5200	10000	100	100	100	72100030	0	2	11	73003030	10011	1073000	56	2073010	3	3	22	0	0	0	0	2073001	9000005	7073000	0	""	-1	0	0	0
83003030	0	30级鞋子	8	3	30	41	810	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	11	2	1	0	6200	10000	100	100	100	82100030	0	2	11	83003030	10011	1083000	56	2083010	3	3	17	0	0	0	0	2083001	9000005	7083000	0	""	-1	0	0	0
93003030	0	30级护腕	9	3	30	30	910	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	11	2	1	0	4000	10000	100	100	100	92100030	0	2	11	93003030	10011	1093000	56	2093010	3	3	17	0	0	0	0	2093001	9000005	7093000	0	""	-1	0	0	0
103003030	0	30级手套	10	3	30	32	1010	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	11	2	1	0	5200	10000	100	100	100	102100030	0	2	11	103003030	10011	1103000	56	2103010	3	3	17	0	0	0	0	2103001	9000005	7103000	0	""	-1	0	0	0
113003030	0	30级戒指[攻击]	11	3	30	30	1110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	7	2	1	0	4000	10000	100	100	100	112100030	0	2	11	113003030	10011	1113000	19	2113010	2	2	11	0	0	0	0	2113001	9000005	7113000	0	""	-1	0	0	0
3103040	0	30级白色双爪	0	4	31	30	31	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	4	2	1	0	24000	10000	100	100	100	2100040	0	2	11	3103040	10	1003000	77	2003010	3	3	26	0	0	Data/player/9weapon/030claw.nif	17	2003101	9000005	7003100	31030	""	1000	0	0	0
3203040	0	30级白色弓	0	4	32	30	32	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	4	2	1	0	24000	10000	100	100	100	2100040	0	2	11	3203040	10	1003000	77	2003010	3	3	26	0	0	Data/player/9weapon/030bow.nif	22	2003201	9000005	7003200	32030	""	1000	0	0	0
13003040	0	30级帽子	1	4	30	46	110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	12	2	1	0	13200	10000	100	100	100	12100040	0	2	11	13003040	10011	1013000	77	2013010	4	4	17	0	0	Data/player/2jiuli/%s/030hair.nif	1	2013001	9000005	7013000	0	""	-1	0	0	0
23003040	0	30级项链[攻击]	2	4	30	30	210	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	8	2	1	0	23400	10000	100	100	100	22100040	0	2	11	23003040	10011	1023000	25	2023010	2	2	13	0	0	0	0	2023001	9000005	7023000	0	""	-1	0	0	0
33003040	0	30级披风[物防]	3	4	30	30	310	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	8	2	1	0	12000	10000	100	100	100	32100040	0	2	11	33003040	10011	1033000	25	2033010	2	2	13	0	0	0	0	2033001	9000005	7033000	0	""	-1	0	0	0
43003040	0	30级护肩	4	4	30	47	410	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	12	2	1	0	19200	10000	100	100	100	42100040	0	2	11	43003040	10011	1043000	77	2043010	4	4	17	0	0	Data/player/2jiuli/%s/030sdr.nif	4	2043001	9000005	7043000	0	""	-1	0	0	0
53003040	0	30级裤服	5	4	30	36	510	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	4	2	1	0	17400	10000	100	100	100	52100040	0	2	11	53003040	10011	1053000	77	2053010	3	3	26	0	0	Data/player/2jiuli/%s/030body.nif	5	2053001	9000005	7053000	530030	""	-1	0	0	0
63003040	0	30级腰带	6	4	30	45	610	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	4	2	1	0	12000	10000	100	100	100	62100040	0	2	11	63003040	10011	1063000	77	2063010	3	3	26	0	0	0	0	2063001	9000005	7063000	0	""	-1	0	0	0
73003040	0	30级裤子	7	4	30	43	710	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	4	2	1	0	15600	10000	100	100	100	72100040	0	2	11	73003040	10011	1073000	77	2073010	3	3	26	0	0	0	0	2073001	9000005	7073000	0	""	-1	0	0	0
83003040	0	30级鞋子	8	4	30	41	810	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	12	2	1	0	18600	10000	100	100	100	82100040	0	2	11	83003040	10011	1083000	77	2083010	4	4	17	0	0	0	0	2083001	9000005	7083000	0	""	-1	0	0	0
93003040	0	30级护腕	9	4	30	30	910	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	12	2	1	0	12000	10000	100	100	100	92100040	0	2	11	93003040	10011	1093000	77	2093010	4	4	17	0	0	0	0	2093001	9000005	7093000	0	""	-1	0	0	0
103003040	0	30级手套	10	4	30	32	1010	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	12	2	1	0	15600	10000	100	100	100	102100040	0	2	11	103003040	10011	1103000	77	2103010	4	4	17	0	0	0	0	2103001	9000005	7103000	0	""	-1	0	0	0
113003040	0	30级戒指[攻击]	11	4	30	30	1110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	8	2	1	0	12000	10000	100	100	100	112100040	0	2	11	113003040	10011	1113000	25	2113010	2	2	13	0	0	0	0	2113001	9000005	7113000	0	""	-1	0	0	0
1105000	1	飞羽	0	0	11	50	11	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	400	10000	100	100	100	0	0	1	10	1105000	10	1001000	26	2001000	0	0	0	0	0	Data/player/9weapon/050sword.nif	0	2001102	9000001	7001100	11050	""	1000	0	0	0
1205000	1	七玄绮	0	0	12	50	12	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	400	10000	100	100	100	0	0	1	10	1205000	10	1001000	26	2001000	0	0	0	0	0	Data/player/9weapon/050piano.nif	21	2001202	9000001	7001200	12050	""	1000	0	0	0
11005000	1	羽化帽	1	0	10	60	110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	245	10000	100	100	100	0	0	1	10	11005000	10011	1011000	26	2011000	0	0	0	0	0	Data/player/1kunlun/%s/050hair.nif	1	2011002	9000001	7011000	0	""	-1	0	0	0
21005000	1	瑞云[攻击]	2	0	10	63	210	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	295	10000	100	100	100	0	0	1	10	21005000	10011	1021000	9	2021000	0	0	0	0	0	0	0	2021002	9000001	7021000	0	""	-1	0	0	0
31005000	1	化神[物防]	3	0	10	54	310	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	210	10000	100	100	100	0	0	1	10	31005000	10011	1031000	9	2031000	0	0	0	0	0	0	0	2031002	9000001	7031000	0	""	-1	0	0	0
41005000	1	羽化护肩	4	0	10	50	410	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	240	10000	100	100	100	0	0	1	10	41005000	10011	1041000	26	2041000	0	0	0	0	0	Data/player/1kunlun/%s/050sdr.nif	4	2041002	9000001	7041000	0	""	-1	0	0	0
51005000	1	羽化裳	5	0	10	60	510	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	255	10000	100	100	100	0	0	1	10	51005000	10011	1051000	26	2051000	0	0	0	0	0	Data/player/1kunlun/%s/050body.nif	5	2051002	9000001	7051000	510050	""	-1	0	0	0
61005000	1	羽化带	6	0	10	65	610	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	175	10000	100	100	100	0	0	1	10	61005000	10011	1061000	26	2061000	0	0	0	0	0	0	0	2061002	9000001	7061000	0	""	-1	0	0	0
